# Dirsearch started Thu Nov 10 02:10:26 2022 as: ./dirsearch.py -w /usr/share/wordlists/SecLists/Discovery/Web-Content/raft-medium-words.txt -e php -f -t 50 -u http://metapress.htb/events/ -o /home/kali/HTB/Machines/MetaTwo_NF/recon/events/raft-medium-words.txt

301     0B   http://metapress.htb/events/03/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/h    -> REDIRECTS TO: http://metapress.htb/hello-world/
301     0B   http://metapress.htb/events/h/    -> REDIRECTS TO: http://metapress.htb/hello-world/
301     0B   http://metapress.htb/events/04    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/04/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/19    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/19/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/05    -> REDIRECTS TO: http://metapress.htb/events/
404   555B   http://metapress.htb/events/.JPG
301     0B   http://metapress.htb/events/05/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/08    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/08/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/09/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/09    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/23    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/23/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/sample    -> REDIRECTS TO: http://metapress.htb/sample-page/
301     0B   http://metapress.htb/events/sample/    -> REDIRECTS TO: http://metapress.htb/sample-page/
301     0B   http://metapress.htb/events/22    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/22/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/24    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/24/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/07/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2003    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/2003/    -> REDIRECTS TO: http://metapress.htb/events/
301     0B   http://metapress.htb/events/07    -> REDIRECTS TO: http://metapress.htb/events/
